# Flame-test spectral data used by the viewer
# element: Ferro (Fe)
# reagent: Cloruro di ferro(III) (FeCl3)
# range_nm: 380-770 air wavelengths
# NIST criterion: line_out=3, Only with observed wavelengths or intensities
# Atomic intensity: numeric part of NIST Rel. int.; source-dependent and qualitative.
# Molecular intensity: within-species source ratio; cross-species scale is an explicit estimate.
# Emissions without a positive numeric relative intensity are excluded.
# fields: species|wavelength_nm|wavelength_kind|rel_intensity_raw|rel_intensity_numeric|normalized_within_species|component_scale|plotted_relative|transition_type|source_ref|notes
Fe I|380.16791|observed|10700|10700|0.00147586207|0.45|0.000664137931|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.18084|observed|3980|3980|0.000548965517|0.45|0.000247034483|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.19837|observed|1910|1910|0.000263448276|0.45|0.000118551724|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.22786|observed|1380|1380|0.000190344828|0.45|8.56551724e-05|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.40092|observed|1780|1780|0.000245517241|0.45|0.000110482759|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.46108|observed|417|417|5.75172414e-05|0.45|2.58827586e-05|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.47911|observed|560|560|7.72413793e-05|0.45|3.47586207e-05|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.5342|observed|74000bl*|74000|0.0102068966|0.45|0.00459310345|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.5342|observed|74000bl*|74000|0.0102068966|0.45|0.00459310345|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.5789|observed|229|229|3.15862069e-05|0.45|1.42137931e-05|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.62164|observed|3390|3390|0.000467586207|0.45|0.000210413793|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.66954|observed|32400|32400|0.00446896552|0.45|0.00201103448|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.67601|observed|437|437|6.02758621e-05|0.45|2.71241379e-05|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.75366|observed|17000|17000|0.00234482759|0.45|0.00105517241|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.82807|observed|890|890|0.000122758621|0.45|5.52413793e-05|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.87283|observed|9500|9500|0.00131034483|0.45|0.000589655172|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.90396|observed|1020|1020|0.000140689655|0.45|6.33103448e-05|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|380.95641|observed|1620|1620|0.000223448276|0.45|0.000100551724|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|381.07554|observed|3020|3020|0.000416551724|0.45|0.000187448276|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|381.10348|observed|1700|1700|0.000234482759|0.45|0.000105517241|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
Fe I|381.18042|observed|780|780|0.000107586207|0.45|4.84137931e-05|E1|L11631|NIST ASD Rel. int. descriptor preserved in raw field
