# Flame-test spectral data used by the viewer
# element: Cesio (Cs)
# reagent: Cloruro di cesio (CsCl)
# range_nm: 380-770 air wavelengths
# NIST criterion: line_out=3, Only with observed wavelengths or intensities
# Atomic intensity: numeric part of NIST Rel. int.; source-dependent and qualitative.
# Molecular intensity: within-species source ratio; cross-species scale is an explicit estimate.
# Emissions without a positive numeric relative intensity are excluded.
# fields: species|wavelength_nm|wavelength_kind|rel_intensity_raw|rel_intensity_numeric|normalized_within_species|component_scale|plotted_relative|transition_type|source_ref|notes
Cs I|387.61486|observed|2100|2100|1|1|1|E1|L5791|NIST ASD Rel. int. descriptor preserved in raw field
Cs I|388.8611413|observed|600|600|0.285714286|1|0.285714286|E1|L9729c91|NIST ASD Rel. int. descriptor preserved in raw field
Cs I|670.76859|observed|25|25|0.000238095238|1|0.000238095238|E1|L5791|NIST ASD Rel. int. descriptor preserved in raw field
Cs I|672.32838|observed|33000|33000|0.314285714|1|0.314285714|E1|L5791|NIST ASD Rel. int. descriptor preserved in raw field
Cs I|674.3969|observed|31|31|0.000295238095|1|0.000295238095|E1|L5791|NIST ASD Rel. int. descriptor preserved in raw field
Cs I|702.66801|observed|100|100|0.000952380952|1|0.000952380952|E1|L5791|NIST ASD Rel. int. descriptor preserved in raw field
Cs I|706.17815|observed|130|130|0.00123809524|1|0.00123809524|E1|L5791|NIST ASD Rel. int. descriptor preserved in raw field
Cs I|758.37754|observed|120|120|0.00114285714|1|0.00114285714|E1|L5791|NIST ASD Rel. int. descriptor preserved in raw field
Cs I|760.95679|observed|530|530|0.00504761905|1|0.00504761905|E1|L5791|NIST ASD Rel. int. descriptor preserved in raw field
Cs I|764.03337|observed|720|720|0.00685714286|1|0.00685714286|E1|L5791|NIST ASD Rel. int. descriptor preserved in raw field
