# Flame-test spectral data used by the viewer
# element: Bario (Ba)
# reagent: Nitrato di bario (Ba(NO3)2)
# range_nm: 380-770 air wavelengths
# NIST criterion: line_out=3, Only with observed wavelengths or intensities
# Atomic intensity: numeric part of NIST Rel. int.; source-dependent and qualitative.
# Molecular intensity: within-species source ratio; cross-species scale is an explicit estimate.
# Emissions without a positive numeric relative intensity are excluded.
# fields: species|wavelength_nm|wavelength_kind|rel_intensity_raw|rel_intensity_numeric|normalized_within_species|component_scale|plotted_relative|transition_type|source_ref|notes
Ba I|386.18816|observed|53|53|0.0289617486|0.6|0.0173770492|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|388.13342|observed|3|3|0.00163934426|0.6|0.000983606557|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|388.93263|observed|165|165|0.0901639344|0.6|0.0540983607|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|389.05714|observed|9|9|0.00491803279|0.6|0.00295081967|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|389.26555|observed|82|82|0.0448087432|0.6|0.0268852459|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|389.43494|observed|4|4|0.00218579235|0.6|0.00131147541|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|389.47817|observed|1|1|0.000546448087|0.6|0.000327868852|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|390.59632|observed|5|5|0.00273224044|0.6|0.00163934426|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|390.99092|observed|272|272|0.14863388|0.6|0.0891803279|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|391.7252|observed|4|4|0.00218579235|0.6|0.00131147541|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|393.57167|observed|423|423|0.231147541|0.6|0.138688525|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|393.78681|observed|59|59|0.0322404372|0.6|0.0193442623|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|394.55928|observed|21|21|0.0114754098|0.6|0.0068852459|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|394.75057|observed|9|9|0.00491803279|0.6|0.00295081967|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|399.33989|observed|530|530|0.289617486|0.6|0.173770492|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|399.56551|observed|61|61|0.0333333333|0.6|0.02|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|399.78728|observed|1|1|0.000546448087|0.6|0.000327868852|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|408.09615|observed|13|13|0.00710382514|0.6|0.00426229508|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|408.48673|observed|43|43|0.0234972678|0.6|0.0140983607|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|408.72467|observed|8|8|0.0043715847|0.6|0.00262295082|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|408.73435|observed|9|9|0.00491803279|0.6|0.00295081967|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|413.24266|observed|309|309|0.168852459|0.6|0.101311475|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|417.93487|observed|14|14|0.00765027322|0.6|0.00459016393|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|422.39634|observed|34|34|0.018579235|0.6|0.011147541|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
Ba I|423.95552|observed|25|25|0.0136612022|0.6|0.00819672131|E1|L9224|NIST ASD Rel. int. descriptor preserved in raw field
